group,region,n_mice,total_fibrosis_percent_mean_group_mean,total_fibrosis_percent_mean_group_sd,total_fibrosis_percent_mean_group_sem,interstitial_fibrosis_percent_mean_group_mean,interstitial_fibrosis_percent_mean_group_sd,interstitial_fibrosis_percent_mean_group_sem,perivascular_collagen_percent_mean_group_mean,perivascular_collagen_percent_mean_group_sd,perivascular_collagen_percent_mean_group_sem,perivascular_ring_collagen_percent_mean_group_mean,perivascular_ring_collagen_percent_mean_group_sd,perivascular_ring_collagen_percent_mean_group_sem
Exercise,LV myocardium,10,5.652615243606221,2.0115939950280985,0.6361218751806218,5.396818956359828,1.9537128337565255,0.6178182448572519,10.981181130491349,6.755179015235048,2.251726338411683,9.777128383678948,5.460317632880176,1.8201058776267252
Sedentary,LV myocardium,10,4.896811957531093,2.1949882566389745,0.6941162328301366,4.526236589312936,2.013559368401064,0.6367433808117436,9.597456912274755,3.8031015014472525,1.2026462917379468,8.541086449660288,3.0987386296917685,0.9799071943375055
